,College Name,Total Enrollment,State,State abbreviation,Graduation Rate,Percent of Applications Accepted,In-state Tuition,In-state Total,Out-of-state Tuition,Out-of-state Total,Room and Board,Avg Book Costs,Avg Personal Costs,Female Students,American Indian / Alaska Native Students,Asian Students,Black Students,Hispanic Students,Native Hawaiian / Pacific Islander Students,White Students,Multi-racial Students,Foreign Exchange Students,Total Minority,# of Applications,Full-time Undergrads,Part-time Undergrads,Percent of Faculty with PhD,Student:Faculty Ratio,Avg Instructional Expenditure per Student,Avg Early Career Pay,Avg Mid Career Pay,Percent STEM Majors,College Type,Degree Length
0,University of Central Florida,60767,Florida,FL,46,42.0,6368,15985,22467,32084,9617.0,700,1600,33482,120,3343,6400,13108,129,33293,1841,1515,24941,6986,12330,7152,80,22.2,6742,49700,88600,16,Public,4 Year
1,Michigan State University,50081,Michigan,MI,71,83.0,14460,24782,39765,50087,10322.0,504,600,25767,127,2214,3196,1878,46,33115,1217,7642,8678,18114,26640,4120,93,14.0,10520,55300,100800,20,Public,4 Year
2,Florida International University,49610,Florida,FL,66,63.0,6558,17440,18956,29838,10882.0,800,3028,27757,42,1434,5977,31211,57,5683,1042,3619,39763,3306,10208,9310,81,13.9,6722,49600,90100,16,Public,4 Year
3,University of Florida,49459,Florida,FL,66,71.0,6381,16501,28658,38778,10120.0,630,1530,26820,137,3501,3151,8127,240,27317,1108,4295,16264,12445,24470,3286,88,13.4,14737,55800,102800,29,Public,4 Year
4,New York University,49274,New York,NY,71,53.0,51828,69984,51828,69984,18156.0,450,1000,27153,94,7314,2374,4267,45,17326,1248,11495,15342,13594,12408,2814,87,7.8,21227,63100,117700,18,Private,4 Year
5,University of Southern California,42453,California,CA,68,69.0,56225,71620,56225,71620,15395.0,600,2210,22112,73,7696,2238,5286,104,13922,1380,9709,16777,12229,13259,1429,90,11.4,17007,64500,120600,23,Private,4 Year
6,Florida State University,41226,Florida,FL,58,75.0,6516,17332,21683,32499,10816.0,600,1020,22645,116,1029,3377,6594,59,26466,1063,1875,12238,11651,18906,3242,80,23.1,7250,50800,92700,18,Public,4 Year
7,University of Georgia,35197,Georgia,GA,63,70.0,11830,21868,30404,40442,10038.0,525,1755,20276,37,2859,2805,1637,37,24567,1052,1739,8427,11220,19553,2748,88,14.7,7881,54400,100700,14,Public,4 Year
8,Iowa State University,34435,Iowa,IA,65,88.0,8988,17708,23392,32112,8720.0,640,2055,15145,80,940,891,1451,31,24843,672,3980,4065,8427,18676,1715,81,19.2,8420,56100,101300,31,Public,4 Year
9,George Mason University,33729,Virginia,VA,46,77.0,12462,23922,35922,47382,11460.0,580,1050,18123,72,5001,3153,3420,122,16371,1209,2136,12977,5653,9528,3822,93,19.3,6751,58900,105700,23,Public,4 Year
10,Georgia State University,32556,Georgia,GA,34,62.0,10858,22236,29432,40810,11378.0,720,3450,19208,62,3386,11875,2651,27,10788,1335,1506,19336,3793,7732,9054,87,19.0,7762,50600,90800,18,Public,4 Year
11,Boston University,32112,Massachusetts,MA,72,64.0,53948,69668,53948,69668,15720.0,475,1025,18765,27,3448,1190,2419,34,14642,868,6412,7986,20192,14971,3113,80,11.9,16836,61400,113600,25,Private,4 Year
12,University of Utah,31515,Utah,UT,37,88.0,9222,19484,29215,39477,10262.0,858,3093,14028,126,1590,401,2718,171,21498,989,2804,5995,5095,13894,8374,89,12.8,9275,54800,102600,22,Public,4 Year
13,Virginia Commonwealth University,30848,Virginia,VA,45,70.0,14490,24918,35138,45566,10428.0,500,3630,17863,84,3615,4798,2002,51,16093,1282,1672,11832,4963,10262,5065,81,8.7,11183,49900,88200,18,Public,4 Year
14,University of North Carolina at Chapel Hill,29135,North Carolina,NC,83,41.0,8987,20177,35170,46360,11190.0,550,1200,16481,133,2410,2304,1895,70,18549,1326,1602,8138,14596,14609,1100,88,8.9,15893,55000,100800,19,Public,4 Year
15,Washington State University,28686,Washington,WA,56,89.0,11581,22979,26365,37763,11398.0,800,2719,14728,169,1497,896,3077,100,18000,1863,1946,7602,6540,14445,1344,84,16.9,10912,55900,103700,20,Public,4 Year
16,University of Illinois at Chicago,27969,Illinois,IL,34,68.0,13764,25838,26980,39054,12074.0,630,3228,15010,29,5229,2194,5435,63,11211,618,2596,13568,8384,13518,2916,82,10.0,13883,56300,103800,31,Public,4 Year
17,Northern Arizona University,27705,Arizona,AZ,41,84.0,11564,21846,25828,36110,10282.0,620,2342,16316,838,468,888,5368,62,17280,1337,1246,8961,5891,11249,2682,78,21.7,6157,49600,90000,12,Public,4 Year
18,East Carolina University,27511,North Carolina,NC,58,69.0,7188,16794,23465,33071,9606.0,500,1700,16451,181,782,4359,1498,26,19058,788,252,7634,9274,13171,1687,74,13.2,9002,48400,85400,11,Public,4 Year
19,University of North Carolina at Charlotte,27238,North Carolina,NC,62,77.0,7044,18144,20478,31578,11100.0,600,1900,13477,81,1343,4410,2000,30,16102,856,1693,8720,5803,10099,3255,79,16.8,6227,52500,92600,25,Public,4 Year
20,University of Kansas,27180,Kansas,KS,57,65.0,11148,21498,27358,37708,10350.0,700,2681,13950,142,1081,1133,1554,22,19137,1096,2436,5028,8579,17880,1673,88,13.7,9657,53000,98600,16,Public,4 Year
21,University of Pennsylvania,24806,Pennsylvania,PA,93,42.0,55584,71200,55584,71200,15616.0,500,1544,13067,21,3717,1483,1799,8,11248,777,4559,7805,12394,9205,531,95,6.3,25765,72800,133900,21,Private,4 Year
22,Kansas State University,24766,Kansas,KS,54,69.0,10263,19943,25767,35447,9680.0,600,2000,12216,94,381,954,1419,36,18549,695,2247,3579,5880,14914,2246,76,18.5,6122,52500,97200,18,Public,4 Year
23,University of Oregon,24096,Oregon,OR,54,78.0,11898,24861,35478,48441,12963.0,570,1530,12597,162,1280,482,2042,99,15039,1328,3135,5393,8631,11669,1605,79,19.7,8020,51800,95800,13,Public,4 Year
24,Western Michigan University,23914,Michigan,MI,55,78.0,12483,22626,15373,25516,10143.0,500,1700,12214,106,388,2634,1117,28,16843,696,1854,4969,9167,15739,4278,80,24.7,5983,50900,92200,16,Public,4 Year
25,University of Delaware,22680,Delaware,DE,75,73.0,13680,26542,34310,47172,12862.0,530,1300,12757,17,1018,1232,1461,21,16007,576,2009,4325,14446,14130,4522,82,18.3,10650,58600,105400,22,Public,4 Year
26,University of Mississippi,22503,Mississippi,MS,53,88.0,8660,19356,24614,35310,10696.0,600,550,12625,64,429,3178,610,23,16882,471,793,4775,3844,7524,804,81,20.3,6971,48500,89100,12,Public,4 Year
27,Clemson University,21857,South Carolina,SC,73,65.0,14970,25802,36724,47556,10832.0,800,1618,10160,41,389,1347,593,14,16876,465,1569,2849,8065,11755,770,82,18.0,7597,57500,106700,39,Public,4 Year
28,University of Louisville,21561,Kentucky,KY,31,64.0,11656,20882,27278,36504,9226.0,530,2440,11118,34,749,2247,813,14,16243,784,617,4641,4777,9844,6198,84,11.1,10207,49500,87600,18,Public,4 Year
29,Northwestern University,21554,Illinois,IL,92,42.0,54567,71193,54567,71193,16626.0,759,1585,10109,22,2865,1058,1662,12,10394,702,3337,6321,12289,7450,45,96,6.8,26385,63400,115400,20,Private,4 Year
30,Johns Hopkins University,21372,Maryland,MD,90,41.0,54240,70076,54240,70076,15836.0,500,1040,11109,35,2919,1419,1498,27,10176,690,3770,6588,8474,3566,1569,96,3.3,56233,67200,117100,31,Private,4 Year
31,James Madison University,20855,Virginia,VA,98,47.0,12016,22108,28416,38508,10092.0,500,732,12428,31,889,863,1043,39,16110,709,495,3574,11223,9652,742,77,17.9,5212,57400,102600,12,Public,4 Year
32,Illinois State University,20615,Illinois,IL,54,77.0,14516,24366,26040,35890,9850.0,537,2605,11549,24,434,1454,1711,18,15968,478,425,4119,8681,15701,1823,77,21.0,5569,51200,95000,10,Public,4 Year
33,Northern Illinois University,20611,Illinois,IL,56,67.0,12262,23142,12262,23142,10880.0,470,1750,10442,30,984,2825,2531,22,12318,569,1090,6961,10706,14826,1979,73,17.3,6086,53000,95500,20,Public,4 Year
34,Oakland University,20519,Michigan,MI,53,85.0,12606,22706,24230,34330,10100.0,400,650,11927,79,955,1601,565,17,15136,492,650,3709,3041,6441,3982,88,19.7,6637,51300,93300,19,Public,4 Year
35,Mississippi State University,20138,Mississippi,MS,53,77.0,8760,18850,23360,33450,10090.0,480,1479,9786,104,263,3871,457,17,14209,273,780,4985,4255,10094,1621,77,15.9,6223,51100,94100,27,Public,4 Year
36,Montclair State University,20022,New Jersey,NJ,58,41.0,12790,28354,20578,36142,15564.0,700,950,12654,13,1015,1946,4447,38,9632,637,552,8096,5220,6411,3186,82,21.5,6717,50800,95400,9,Public,4 Year
37,Northeastern University,19798,Massachusetts,MA,46,71.0,51387,68267,51387,68267,16880.0,600,1750,9764,10,1753,624,1103,7,8828,597,5463,4094,11901,11160,10221,73,12.9,9563,62500,109700,40,Private,4 Year
38,University of Alabama at Birmingham,18698,Alabama,AL,33,70.0,10710,17110,24630,31030,6400.0,750,2200,11288,46,931,3943,496,14,11840,563,665,5993,1797,6960,4698,96,6.7,16352,48600,87200,17,Public,4 Year
39,Appalachian State University,18026,North Carolina,NC,70,64.0,7214,15518,22021,30325,8304.0,96,2000,9974,44,267,584,702,11,15447,441,216,2049,7313,9940,1035,83,18.3,5854,46600,82700,9,Public,4 Year
40,Saint Louis University,17052,Missouri,MO,67,87.0,43884,56174,43884,56174,12290.0,800,6800,10004,13,1111,1091,567,0,12065,699,973,3481,3294,4576,1140,84,4.6,18367,54200,95300,13,Private,4 Year
41,Webster University,16769,Missouri,MO,48,69.0,27900,38950,27900,38950,11050.0,500,500,9463,75,423,6217,1159,31,7166,314,355,8219,665,1739,1550,68,20.6,6951,46500,83500,2,Private,4 Year
42,University of Miami,16674,Florida,FL,59,76.0,50226,64334,50226,64334,14108.0,630,1985,8521,23,953,1169,3526,22,6776,408,2744,6101,7122,7760,876,82,5.9,17500,56200,99600,22,Private,4 Year
43,University of Rhode Island,16571,Rhode Island,RI,63,80.0,14138,27088,30862,43812,12950.0,500,1250,9077,44,534,803,1288,6,11396,394,558,3069,9643,8894,2456,84,16.6,9158,54500,99700,18,Public,4 Year
44,Baylor University,16263,Texas,TX,72,88.0,45727,58322,45727,58322,12595.0,600,1346,9152,62,939,1129,2146,9,10445,699,684,4984,6075,9919,484,71,18.5,7503,55500,101400,16,Private,4 Year
45,University of North Florida,15984,Florida,FL,47,70.0,6394,16370,20112,30088,9976.0,600,2604,8977,20,674,1553,1481,12,11031,779,370,4519,1800,3876,3588,82,17.8,6104,48800,86600,11,Public,4 Year
46,Loyola University Chicago,15902,Illinois,IL,65,83.0,44048,58528,44048,58528,14480.0,700,2000,10215,15,1449,920,1793,33,9706,721,826,4931,3579,5244,3417,94,6.2,13009,53400,96000,15,Private,4 Year
47,Duke University,15856,North Carolina,NC,97,28.0,55695,70873,55695,70873,15178.0,625,1162,7891,66,2268,1156,797,20,7787,369,2899,4676,13789,6188,53,95,5.0,27206,71100,132100,26,Private,4 Year
48,Fordham University,15231,New York,NY,80,68.0,52687,70656,52687,70656,17969.0,600,1735,8903,18,1164,959,1879,15,8365,420,1902,4455,4200,4740,1646,86,14.4,10864,58700,112500,10,Private,4 Year
49,University of Chicago,15097,Illinois,IL,90,47.0,58230,74580,58230,74580,16350.0,500,1254,6341,35,1923,634,928,6,6440,336,3251,3862,6348,3340,39,99,5.3,36854,64000,114200,22,Private,4 Year
50,Western Washington University,15060,Washington,WA,61,64.0,8132,19598,23544,35010,11466.0,639,2385,8368,65,971,224,1095,28,11200,1164,157,3547,5548,8909,506,83,22.7,7203,55000,99300,16,Public,4 Year
51,University of North Dakota,14906,North Dakota,ND,49,81.0,8695,17669,20759,29733,8974.0,450,1200,7062,253,207,344,420,15,11768,404,996,1643,2777,8334,1435,97,15.9,9424,53800,96000,16,Public,4 Year
52,Lamar University,14895,Texas,TX,26,74.0,10192,19112,22642,31562,8920.0,508,1463,9031,55,478,3532,2070,10,7196,258,1051,6403,2336,5438,4058,48,18.4,5879,53300,101200,16,Public,4 Year
53,University of Southern Mississippi,14792,Mississippi,MS,45,72.0,8734,18591,10734,20591,9857.0,500,500,9344,48,172,4033,457,14,9308,316,375,5040,2850,9260,1387,78,18.7,5917,45100,83900,11,Public,4 Year
54,Emory University,14769,Georgia,GA,96,49.0,51306,65762,51306,65762,14456.0,600,870,8349,26,2281,1474,874,8,6635,338,2357,5001,8506,5544,192,97,5.0,28457,62000,110800,20,Private,4 Year
55,East Tennessee State University,14434,Tennessee,TN,42,82.0,9277,17749,28459,36931,8472.0,600,2200,8369,38,232,860,290,9,11967,341,488,1770,3330,6706,2640,73,14.0,9825,43700,77300,8,Public,4 Year
56,Marshall University,13381,West Virginia,WV,50,87.0,8128,18578,18614,29064,10450.0,700,1560,7833,47,157,738,231,10,10948,268,425,1451,4226,7703,2339,77,16.6,6203,45000,79700,12,Public,4 Year
57,Indiana State University,13183,Indiana,IN,40,84.0,9090,19680,19836,30426,10590.0,600,2500,7260,36,179,2199,395,8,8743,374,998,3191,5659,8596,1949,72,16.6,6996,47900,85600,8,Public,4 Year
58,University of Vermont,12856,Vermont,VT,79,78.0,18276,30738,42516,54978,12462.0,500,990,7144,32,388,166,533,4,10329,331,553,1454,7663,7353,1674,87,9.9,12646,53200,99400,22,Public,4 Year
59,University of Wyoming,12820,Wyoming,WY,45,75.0,5400,15720,17490,27810,10320.0,600,1500,6661,72,171,121,749,33,9506,305,862,1451,2029,7535,1488,91,15.1,8745,52400,98800,25,Public,4 Year
60,Vanderbilt University,12686,Tennessee,TN,83,60.0,49816,66050,49816,66050,16234.0,630,952,6793,35,966,932,810,12,7653,456,1202,3211,7791,5500,90,93,5.8,23850,65400,119100,23,Private,4 Year
61,Carnegie Mellon University,12587,Pennsylvania,PA,74,60.0,55465,69883,55465,69883,14418.0,450,1250,4782,9,2071,402,574,2,3747,334,4820,3392,8728,4265,291,86,9.2,24386,75900,136100,66,Private,4 Year
62,South Dakota State University,12543,South Dakota,SD,67,92.0,8764,16660,12128,20024,7896.0,500,1970,6704,127,140,255,241,13,10780,229,700,1005,2807,7000,1103,62,15.0,5084,50500,91900,18,Public,4 Year
63,Yale University,12336,Connecticut,CT,99,23.0,53430,69430,53430,69430,16000.0,630,2115,6041,49,1581,675,939,5,5906,547,2393,3796,10705,5217,83,96,5.8,40386,70300,138300,22,Private,4 Year
64,University of Notre Dame,12179,Indiana,IN,97,48.0,53391,68801,53391,68801,15410.0,600,1350,5547,21,573,376,1139,5,7791,446,1191,2560,7700,7671,30,96,13.1,13936,67000,130500,28,Private,4 Year
65,Southeast Missouri State University,12087,Missouri,MO,45,82.0,7418,16353,13155,22090,8935.0,200,2150,6927,55,118,1022,189,4,8931,13,1061,1401,2281,6553,1246,75,17.1,5916,43700,79100,9,Public,4 Year
66,University of Northern Colorado,12050,Colorado,CO,40,72.0,9786,20990,21474,32678,11204.0,540,2286,7908,38,188,437,1772,22,7189,377,370,2834,5530,8463,1498,75,21.5,6309,47700,87100,7,Public,4 Year
67,Central Connecticut State University,12037,Connecticut,CT,49,61.0,10616,22792,21856,34032,12176.0,500,985,6035,23,429,1225,1359,11,8159,290,203,3337,4158,6394,3881,69,16.7,4900,53100,93700,15,Public,4 Year
68,Arkansas Tech University,12002,Arkansas,AR,48,100.0,9068,16938,15848,23718,7870.0,450,1000,6689,121,154,919,728,8,9314,309,449,2239,1734,3602,939,57,19.6,4739,45000,76900,7,Public,4 Year
69,University of Northern Iowa,11928,Iowa,IA,77,82.0,8938,17886,19480,28428,8948.0,595,2380,6945,25,108,339,377,7,9967,210,626,1066,4144,10135,1448,78,16.3,6333,47100,85300,8,Public,4 Year
70,University of Denver,11809,Colorado,CO,67,67.0,50556,63561,50556,63561,13005.0,400,1350,6649,52,390,406,1023,14,7958,328,1262,2213,2974,2666,554,84,15.9,11762,55700,105100,12,Private,4 Year
71,Central Washington University,11799,Washington,WA,51,72.0,8072,19187,23053,34168,11115.0,654,1416,6147,65,532,365,1430,137,7327,710,103,3239,2785,6507,898,67,18.1,6413,52700,93200,13,Public,4 Year
72,Marquette University,11745,Wisconsin,WI,77,89.0,41870,54590,41870,54590,12720.0,600,1950,6167,29,527,463,950,11,8355,329,604,2309,5152,7016,804,86,13.5,9982,57800,105900,25,Private,4 Year
73,College of Charleston,11456,South Carolina,SC,51,66.0,12738,24904,31920,44086,12166.0,666,2316,7329,21,181,823,478,13,9221,401,168,1917,4772,6851,1200,73,17.2,4776,47300,85100,20,Public,4 Year
74,University of Dayton,11343,Ohio,OH,93,83.0,42900,56480,42900,56480,13580.0,500,900,5411,9,156,417,310,3,8209,126,1776,1021,6361,5889,665,81,14.8,8894,57400,105000,33,Private,4 Year
75,Massachusetts Institute of Technology,11319,Massachusetts,MA,94,33.0,51832,67342,51832,67342,15510.0,725,1600,4226,18,1832,344,1087,1,3748,415,3302,3697,6411,4481,28,99,10.1,33541,86300,155200,69,Private,4 Year
76,Southern Methodist University,11272,Texas,TX,72,80.0,54493,71338,54493,71338,16845.0,576,1802,5405,31,671,669,1172,15,6812,291,1483,2849,4301,4892,387,74,13.5,12726,59700,110400,22,Private,4 Year
77,Louisiana Tech University,11225,Louisiana,LA,45,89.0,9645,16140,18558,25053,6495.0,618,1656,5481,43,131,1441,123,16,7768,190,573,1944,2397,6720,1822,66,20.0,4546,53100,100700,24,Public,4 Year
78,Murray State University,11207,Kentucky,KY,52,86.0,9084,18274,24540,33730,9190.0,700,940,6571,22,99,776,196,6,8937,171,825,1270,2225,5968,955,72,20.2,5972,44800,79900,9,Public,4 Year
79,University of Rochester,11060,New York,NY,80,63.0,53926,69864,53926,69864,15938.0,500,882,5626,28,915,491,533,5,5315,241,2610,2213,8766,5071,438,93,5.9,26037,61100,112700,32,Private,4 Year
80,Hofstra University,10953,New York,NY,60,79.0,46760,62708,46760,62708,15948.0,1000,1000,6139,31,893,909,1254,78,5914,198,1072,3363,7428,6534,1350,81,13.9,10093,57300,110400,7,Private,4 Year
81,Case Western Reserve University,10771,Ohio,OH,67,81.0,49042,64232,49042,64232,15190.0,525,1460,5380,14,1543,563,444,5,5379,269,2022,2838,3877,3051,513,95,2.9,19733,66600,117800,37,Private,4 Year
82,Villanova University,10735,Pennsylvania,PA,96,72.0,53308,67328,53308,67328,14020.0,400,300,5542,12,666,580,699,9,7869,209,358,2175,7759,6362,1292,89,13.4,10458,65100,119500,23,Private,4 Year
83,University of San Francisco,10689,California,CA,62,75.0,48066,62896,48066,62896,14830.0,750,2450,6724,26,1881,464,1919,69,3492,635,1716,4994,2306,4309,549,86,13.6,10074,60600,109900,6,Private,4 Year
84,New Jersey Institute of Technology,10646,New Jersey,NJ,72,65.0,17338,30938,32750,46350,13600.0,700,1850,2665,6,1901,899,1749,3,2934,267,1803,4825,1879,3311,1646,92,13.5,12529,64600,121300,75,Public,4 Year
85,Western Carolina University,10382,North Carolina,NC,55,78.0,4220,13902,8220,17902,9682.0,110,1622,5846,87,134,669,496,12,8287,320,279,1718,3224,5000,706,67,14.6,6554,44700,77700,8,Public,4 Year
86,Texas Christian University,10033,Texas,TX,64,75.0,46950,59754,46950,59754,12804.0,650,2400,5940,81,277,479,1060,29,7278,55,521,1981,4095,5064,660,81,14.8,9158,56000,98700,9,Private,4 Year
87,Radford University,9798,Virginia,VA,62,86.0,11210,20616,22845,32251,9406.0,500,900,5644,27,143,1101,499,20,7366,435,84,2225,5702,8077,472,73,19.6,4519,48900,82900,10,Public,4 Year
88,Seton Hall University,9627,New Jersey,NJ,64,78.0,42470,58270,42470,58270,15800.0,650,1000,5642,10,688,1098,1364,30,4800,189,407,3379,4576,4384,1530,81,14.4,10080,57100,103800,8,Private,4 Year
89,Loyola Marymount University,9515,California,CA,84,71.0,48522,63012,48522,63012,14490.0,545,1328,5558,18,1054,585,2190,8,4249,616,677,4471,3768,3558,436,84,14.2,11677,58500,113300,9,Private,4 Year
90,University of Wisconsin-Stout,9394,Wisconsin,WI,65,76.0,9457,16381,17423,24347,6924.0,376,1750,4626,28,307,156,220,14,8089,155,351,880,2593,6038,579,78,21.0,6254,50400,89500,14,Public,4 Year
91,Brown University,9181,Rhode Island,RI,97,26.0,55656,70326,55656,70326,14670.0,720,1100,4682,26,1099,550,894,13,3886,376,1539,2958,12586,5643,349,99,7.6,20440,68200,127600,43,Private,4 Year
92,Santa Clara University,9015,California,CA,100,69.0,51711,66621,51711,66621,14910.0,630,1278,4511,10,1416,238,1283,20,3691,461,1213,3428,4019,3891,128,88,13.9,10872,69900,134700,29,Private,4 Year
